person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21.0,18000.0,OWN,3.0,HOMEIMPROVEMENT,D,4900.0,14.54,1,0.27,Y,4.0
24.0,18000.0,OWN,0.0,HOMEIMPROVEMENT,A,6250.0,6.54,1,0.35,N,4.0
23.0,18000.0,MORTGAGE,1.0,MEDICAL,D,2500.0,15.95,1,0.14,N,2.0
21.0,18000.0,OWN,0.0,VENTURE,B,6250.0,10.62,1,0.35,N,4.0
21.0,18000.0,OWN,1.0,PERSONAL,B,2500.0,11.36,0,0.14,N,3.0
22.0,18000.0,OWN,2.0,MEDICAL,C,4000.0,10.99,1,0.22,N,2.0
22.0,18000.0,OWN,1.0,MEDICAL,D,5400.0,15.31,1,0.3,Y,2.0
25.0,18000.0,MORTGAGE,1.0,MEDICAL,B,4000.0,10.99,1,0.22,N,3.0
21.0,18000.0,OWN,5.0,VENTURE,B,3375.0,10.99,1,0.19,N,2.0
24.0,18000.0,MORTGAGE,3.0,VENTURE,C,1200.0,11.34,0,0.07,Y,4.0
22.0,18000.0,OWN,1.0,DEBTCONSOLIDATION,B,3000.0,9.96,1,0.17,N,3.0
23.0,70000.0,RENT,7.0,DEBTCONSOLIDATION,C,21496.875,14.27,1,0.32,N,2.0
24.0,18287.0,OWN,3.0,HOMEIMPROVEMENT,B,3000.0,11.99,1,0.16,N,3.0
26.0,69846.0,RENT,2.0,EDUCATION,F,21496.875,18.99,1,0.32,Y,2.0
24.0,73000.0,RENT,0.0,VENTURE,E,21496.875,16.7,1,0.31,Y,4.0
24.0,18500.0,MORTGAGE,8.0,PERSONAL,A,5000.0,9.32,1,0.27,N,3.0
21.0,18701.0,MORTGAGE,0.0,PERSONAL,D,4200.0,14.11,1,0.22,Y,4.0
22.0,57000.0,RENT,6.0,EDUCATION,B,21496.875,9.63,1,0.39,N,3.0
25.0,58000.0,RENT,0.0,MEDICAL,C,21496.875,14.65,1,0.38,N,2.0
23.0,60000.0,RENT,6.0,DEBTCONSOLIDATION,B,21496.875,10.25,1,0.37,N,4.0
24.0,60000.0,RENT,3.0,VENTURE,C,21496.875,14.26,1,0.37,Y,2.0
25.0,18840.0,MORTGAGE,5.0,EDUCATION,B,3000.0,9.91,1,0.16,N,2.0
26.0,56000.0,RENT,7.0,MEDICAL,E,21496.875,17.19,1,0.39,N,3.0
22.0,70000.0,RENT,3.0,EDUCATION,B,21496.875,11.36,1,0.31,N,4.0
22.0,66000.0,RENT,1.0,EDUCATION,F,21496.875,10.99,1,0.33,N,2.0
23.0,74064.0,RENT,3.0,DEBTCONSOLIDATION,B,21496.875,10.59,0,0.3,N,3.0
24.0,76597.0,RENT,5.0,EDUCATION,B,21496.875,9.25,0,0.29,N,2.0
22.0,19000.0,OWN,6.0,MEDICAL,A,3625.0,8.49,1,0.19,N,3.0
26.0,77000.0,RENT,0.0,VENTURE,A,21496.875,6.54,0,0.29,N,3.0
21.0,19000.0,OWN,5.0,MEDICAL,A,6000.0,8.49,1,0.32,N,3.0
24.0,80000.0,RENT,0.0,MEDICAL,A,21496.875,10.99,0,0.28,N,4.0
26.0,82600.0,RENT,10.0,VENTURE,B,21496.875,12.69,0,0.27,N,2.0
24.0,19000.0,OWN,3.0,MEDICAL,C,7400.0,13.85,1,0.39,N,2.0
25.0,19000.0,OWN,3.0,DEBTCONSOLIDATION,A,4000.0,7.4,1,0.21,N,3.0
23.0,84000.0,RENT,3.0,DEBTCONSOLIDATION,B,21496.875,11.71,0,0.26,N,4.0
25.0,77650.0,RENT,8.0,PERSONAL,B,21496.875,11.48,1,0.28,N,3.0
25.0,82000.0,RENT,1.0,EDUCATION,E,21496.875,17.51,1,0.27,N,2.0
21.0,19012.0,MORTGAGE,0.0,DEBTCONSOLIDATION,D,3500.0,14.61,1,0.18,N,3.0
23.0,99996.0,RENT,3.0,DEBTCONSOLIDATION,A,21496.875,7.88,0,0.22,N,4.0
23.0,110000.0,RENT,0.0,PERSONAL,B,21496.875,10.99,0,0.2,N,3.0
22.0,19200.0,MORTGAGE,6.0,PERSONAL,B,4950.0,11.71,1,0.26,N,2.0
25.0,57000.0,RENT,4.0,PERSONAL,B,21496.875,11.99,1,0.38,N,2.0
24.0,54000.0,RENT,5.0,VENTURE,C,21496.875,13.49,1,0.39,N,2.0
26.0,63000.0,RENT,2.0,DEBTCONSOLIDATION,C,21496.875,14.35,1,0.34,Y,3.0
22.0,82000.0,RENT,3.0,PERSONAL,C,21496.875,13.61,0,0.26,Y,3.0
22.0,78000.0,RENT,6.0,DEBTCONSOLIDATION,B,21496.875,11.26,1,0.28,N,3.0
22.0,19200.0,OWN,0.0,VENTURE,B,2400.0,10.59,0,0.13,N,3.0
24.0,112140.0,RENT,8.0,MEDICAL,A,21496.875,7.9,0,0.19,N,2.0
25.0,19200.0,OWN,4.0,EDUCATION,B,3000.0,11.99,1,0.16,N,4.0
24.0,59000.0,RENT,5.0,MEDICAL,D,21496.875,16.89,1,0.36,N,3.0
24.0,70000.0,RENT,5.0,HOMEIMPROVEMENT,B,21496.875,9.99,1,0.31,N,3.0
24.0,116000.0,RENT,5.0,EDUCATION,D,21496.875,15.33,0,0.19,Y,3.0
25.0,60000.0,RENT,5.0,EDUCATION,A,21450.0,7.29,1,0.36,N,4.0
22.0,19200.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5000.0,14.17,1,0.26,Y,2.0
22.0,53000.0,RENT,3.0,MEDICAL,B,21250.0,10.25,1,0.39,N,3.0
24.0,56000.0,RENT,8.0,VENTURE,D,21250.0,15.95,1,0.38,Y,3.0
24.0,65000.0,RENT,4.0,EDUCATION,D,21250.0,15.95,1,0.33,Y,4.0
22.0,19200.0,MORTGAGE,6.0,HOMEIMPROVEMENT,D,1400.0,14.91,1,0.07,Y,4.0
23.0,19200.0,MORTGAGE,7.0,MEDICAL,A,3000.0,10.99,1,0.16,N,4.0
25.0,19200.0,OWN,2.0,VENTURE,B,1000.0,10.99,0,0.05,N,3.0
23.0,63000.0,RENT,2.0,MEDICAL,B,21000.0,11.36,1,0.33,N,2.0
26.0,19200.0,MORTGAGE,5.0,VENTURE,A,4000.0,7.51,1,0.21,N,4.0
22.0,59000.0,RENT,2.0,PERSONAL,B,21000.0,10.71,1,0.36,N,3.0
22.0,70500.0,RENT,3.0,PERSONAL,C,21000.0,13.98,0,0.3,Y,4.0
26.0,65219.0,RENT,11.0,DEBTCONSOLIDATION,D,21000.0,14.09,1,0.32,N,3.0
22.0,75000.0,RENT,2.0,EDUCATION,B,21000.0,10.0,0,0.28,N,3.0
22.0,19200.0,MORTGAGE,3.0,MEDICAL,D,5000.0,15.33,1,0.26,N,3.0
25.0,62047.0,RENT,9.0,MEDICAL,E,21000.0,16.32,1,0.29,Y,4.0
24.0,79000.0,RENT,8.0,HOMEIMPROVEMENT,A,21000.0,7.9,0,0.27,N,2.0
23.0,80000.0,RENT,3.0,MEDICAL,B,21000.0,11.99,0,0.26,N,3.0
24.0,84000.0,RENT,8.0,MEDICAL,B,21000.0,10.75,0,0.25,N,4.0
26.0,85000.0,RENT,3.0,HOMEIMPROVEMENT,C,21000.0,13.92,0,0.25,N,3.0
22.0,93000.0,RENT,1.0,EDUCATION,B,21000.0,9.91,0,0.23,N,3.0
26.0,81000.0,RENT,10.0,EDUCATION,E,21000.0,16.95,1,0.26,Y,3.0
26.0,97000.0,RENT,1.0,EDUCATION,A,21000.0,7.9,0,0.22,N,3.0
26.0,97000.0,RENT,3.0,EDUCATION,C,21000.0,10.99,0,0.22,Y,3.0
25.0,100000.0,RENT,2.0,PERSONAL,D,21000.0,16.49,1,0.21,Y,3.0
26.0,19200.0,OTHER,0.0,PERSONAL,C,7500.0,11.97,1,0.39,Y,2.0
26.0,125000.0,RENT,5.0,HOMEIMPROVEMENT,A,21000.0,8.9,0,0.17,N,2.0
25.0,125000.0,RENT,9.0,EDUCATION,C,21000.0,12.99,0,0.17,Y,3.0
23.0,82000.0,RENT,2.0,PERSONAL,B,20900.0,12.69,0,0.25,N,2.0
26.0,50000.0,RENT,7.0,VENTURE,A,20500.0,7.49,1,0.39,N,3.0
23.0,70000.0,RENT,2.0,EDUCATION,C,20500.0,13.16,0,0.29,Y,3.0
22.0,19800.0,OWN,1.0,EDUCATION,A,2100.0,8.38,0,0.11,N,4.0
23.0,54000.0,RENT,7.0,PERSONAL,A,20375.0,7.49,1,0.38,N,2.0
23.0,20000.0,OWN,0.0,PERSONAL,B,5000.0,11.71,0,0.25,N,4.0
23.0,20000.0,MORTGAGE,2.0,MEDICAL,B,6400.0,10.65,0,0.32,N,4.0
26.0,20000.0,MORTGAGE,5.0,MEDICAL,A,4800.0,5.99,0,0.24,N,3.0
25.0,20000.0,OWN,0.0,PERSONAL,D,5650.0,15.99,0,0.28,Y,2.0
23.0,20000.0,MORTGAGE,7.0,EDUCATION,C,3625.0,10.99,0,0.18,Y,3.0
23.0,20000.0,OWN,7.0,MEDICAL,A,1200.0,7.49,0,0.06,N,3.0
22.0,48500.0,RENT,1.0,VENTURE,B,20000.0,11.36,1,0.39,N,4.0
22.0,20000.0,OWN,3.0,EDUCATION,A,7500.0,5.79,0,0.38,N,4.0
23.0,49400.0,RENT,0.0,EDUCATION,A,20000.0,6.54,1,0.39,N,4.0
25.0,20000.0,MORTGAGE,1.0,VENTURE,A,4000.0,5.79,0,0.2,N,2.0
25.0,50000.0,RENT,10.0,DEBTCONSOLIDATION,A,20000.0,7.49,1,0.39,N,3.0
25.0,50000.0,RENT,9.0,EDUCATION,C,20000.0,13.43,1,0.39,N,2.0
22.0,50000.0,RENT,6.0,DEBTCONSOLIDATION,C,20000.0,13.22,1,0.39,N,2.0
22.0,20000.0,OWN,1.0,VENTURE,C,5000.0,14.72,0,0.25,N,3.0
24.0,50866.0,RENT,6.0,MEDICAL,B,20000.0,10.99,1,0.39,N,3.0
25.0,50950.0,RENT,5.0,HOMEIMPROVEMENT,B,20000.0,11.48,1,0.39,N,3.0
24.0,51000.0,RENT,8.0,VENTURE,B,20000.0,10.38,1,0.39,N,3.0
22.0,51000.0,RENT,5.0,EDUCATION,B,20000.0,12.53,1,0.39,N,3.0
22.0,51000.0,RENT,0.0,EDUCATION,C,20000.0,13.47,1,0.39,N,2.0
24.0,51500.0,RENT,6.0,VENTURE,B,20000.0,12.21,1,0.39,N,4.0
25.0,51996.0,RENT,9.0,VENTURE,B,20000.0,10.99,1,0.38,N,3.0
25.0,52000.0,RENT,1.0,EDUCATION,B,20000.0,11.36,1,0.38,N,4.0
26.0,20000.0,MORTGAGE,1.0,PERSONAL,A,1500.0,7.74,0,0.07,N,3.0
24.0,52000.0,RENT,8.0,EDUCATION,D,20000.0,15.65,1,0.38,Y,2.0
24.0,52559.0,RENT,9.0,HOMEIMPROVEMENT,B,20000.0,10.99,1,0.38,N,3.0
22.0,54000.0,RENT,2.0,EDUCATION,B,20000.0,9.91,1,0.37,N,4.0
23.0,54000.0,RENT,1.0,VENTURE,B,20000.0,11.83,1,0.37,N,4.0
24.0,48912.0,RENT,0.0,MEDICAL,C,20000.0,11.66,1,0.39,N,4.0
26.0,54996.0,RENT,8.0,EDUCATION,B,20000.0,12.18,1,0.36,N,4.0
24.0,55000.0,RENT,8.0,HOMEIMPROVEMENT,A,20000.0,6.91,1,0.36,N,2.0
25.0,55000.0,RENT,3.0,DEBTCONSOLIDATION,A,20000.0,6.91,1,0.36,N,3.0
26.0,49000.0,RENT,0.0,HOMEIMPROVEMENT,F,20000.0,19.79,1,0.39,N,3.0
25.0,55000.0,RENT,0.0,VENTURE,B,20000.0,9.88,1,0.36,N,4.0
23.0,55000.0,RENT,5.0,DEBTCONSOLIDATION,B,20000.0,12.53,1,0.36,N,2.0
25.0,55200.0,RENT,7.0,VENTURE,B,20000.0,10.99,1,0.36,N,4.0
23.0,20004.0,MORTGAGE,6.0,PERSONAL,A,7125.0,6.99,0,0.36,N,2.0
23.0,57000.0,RENT,3.0,EDUCATION,D,20000.0,16.89,1,0.35,N,2.0
22.0,51012.0,RENT,1.0,PERSONAL,D,20000.0,17.49,1,0.39,Y,4.0
23.0,20004.0,MORTGAGE,2.0,EDUCATION,E,2500.0,16.82,0,0.12,Y,2.0
26.0,20004.0,MORTGAGE,4.0,HOMEIMPROVEMENT,B,3600.0,10.99,0,0.18,N,2.0
22.0,58000.0,RENT,0.0,DEBTCONSOLIDATION,C,20000.0,13.11,1,0.34,N,2.0
23.0,58800.0,RENT,7.0,DEBTCONSOLIDATION,A,20000.0,7.66,1,0.34,N,3.0
26.0,59000.0,RENT,10.0,MEDICAL,A,20000.0,6.17,1,0.34,N,3.0
26.0,53000.0,RENT,1.0,PERSONAL,E,20000.0,16.35,1,0.38,Y,4.0
23.0,60000.0,RENT,7.0,MEDICAL,A,20000.0,7.9,1,0.33,N,2.0
24.0,54000.0,RENT,2.0,VENTURE,D,20000.0,16.49,1,0.37,N,2.0
21.0,20245.0,OWN,5.0,VENTURE,A,3550.0,10.99,0,0.18,N,4.0
26.0,20280.0,MORTGAGE,5.0,HOMEIMPROVEMENT,A,7000.0,8.0,0,0.35,N,2.0
24.0,60000.0,RENT,0.0,PERSONAL,B,20000.0,10.99,1,0.33,N,2.0
24.0,20352.0,OWN,3.0,VENTURE,A,7750.0,6.91,0,0.38,N,3.0
25.0,54000.0,RENT,6.0,PERSONAL,B,20000.0,8.88,1,0.37,N,3.0
24.0,60000.0,RENT,8.0,VENTURE,A,20000.0,10.99,1,0.33,N,4.0
23.0,54000.0,RENT,6.0,DEBTCONSOLIDATION,D,20000.0,14.84,1,0.37,Y,3.0
23.0,54000.0,RENT,2.0,PERSONAL,B,20000.0,11.12,1,0.37,N,2.0
22.0,60000.0,RENT,4.0,EDUCATION,A,20000.0,7.88,1,0.33,N,3.0
25.0,60000.0,RENT,2.0,EDUCATION,B,20000.0,10.99,1,0.33,N,2.0
22.0,20400.0,MORTGAGE,6.0,EDUCATION,D,6000.0,15.99,0,0.29,Y,4.0
24.0,20400.0,MORTGAGE,5.0,DEBTCONSOLIDATION,B,5500.0,10.99,0,0.27,N,4.0
25.0,60000.0,RENT,9.0,EDUCATION,B,20000.0,10.99,1,0.33,N,3.0
25.0,54000.0,RENT,1.0,PERSONAL,D,20000.0,15.65,1,0.37,Y,3.0
24.0,54000.0,RENT,1.0,PERSONAL,E,20000.0,17.04,1,0.37,Y,3.0
23.0,60000.0,RENT,3.0,EDUCATION,B,20000.0,12.21,1,0.33,N,2.0
21.0,20400.0,OWN,2.0,EDUCATION,C,1275.0,15.23,0,0.06,Y,3.0
25.0,54000.0,RENT,1.0,DEBTCONSOLIDATION,D,20000.0,14.11,1,0.37,N,4.0
24.0,60000.0,RENT,0.0,PERSONAL,B,20000.0,11.14,1,0.33,N,2.0
21.0,20400.0,OWN,5.0,MEDICAL,B,2400.0,11.49,0,0.12,N,4.0
24.0,60000.0,RENT,8.0,PERSONAL,D,20000.0,13.87,1,0.33,N,4.0
26.0,60000.0,RENT,3.0,HOMEIMPROVEMENT,B,20000.0,10.08,1,0.33,N,4.0
23.0,54504.0,RENT,1.0,PERSONAL,E,20000.0,16.7,1,0.37,Y,4.0
24.0,55000.0,RENT,2.0,VENTURE,E,20000.0,18.64,1,0.36,N,2.0
24.0,61000.0,RENT,2.0,HOMEIMPROVEMENT,B,20000.0,12.18,1,0.33,N,4.0
22.0,20400.0,OWN,0.0,DEBTCONSOLIDATION,D,3800.0,10.99,0,0.19,Y,3.0
25.0,62000.0,RENT,3.0,MEDICAL,A,20000.0,6.54,1,0.32,N,3.0
24.0,56000.0,RENT,3.0,EDUCATION,D,20000.0,14.61,1,0.36,Y,4.0
21.0,56000.0,RENT,4.0,VENTURE,E,20000.0,17.39,1,0.36,Y,3.0
24.0,62400.0,RENT,8.0,HOMEIMPROVEMENT,B,20000.0,11.12,1,0.32,N,2.0
25.0,62400.0,RENT,7.0,VENTURE,B,20000.0,11.48,1,0.32,N,2.0
25.0,63000.0,RENT,3.0,MEDICAL,B,20000.0,12.42,1,0.32,N,3.0
26.0,58000.0,RENT,0.0,DEBTCONSOLIDATION,B,20000.0,10.25,1,0.34,N,2.0
23.0,65000.0,RENT,0.0,MEDICAL,B,20000.0,10.65,1,0.31,N,3.0
24.0,20800.0,OWN,0.0,PERSONAL,D,5000.0,16.29,0,0.24,Y,3.0
23.0,65000.0,RENT,0.0,MEDICAL,B,20000.0,10.37,1,0.31,N,2.0
23.0,65000.0,RENT,7.0,VENTURE,B,20000.0,11.49,1,0.31,N,3.0
25.0,20868.0,OWN,0.0,VENTURE,C,5375.0,13.49,0,0.26,Y,2.0
26.0,59000.0,RENT,3.0,PERSONAL,C,20000.0,10.99,1,0.34,N,4.0
23.0,59000.0,RENT,7.0,EDUCATION,C,20000.0,12.29,1,0.34,N,4.0
21.0,21000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,D,3500.0,17.27,1,0.17,Y,2.0
26.0,65004.0,RENT,7.0,DEBTCONSOLIDATION,B,20000.0,11.99,1,0.31,N,2.0
25.0,59004.0,RENT,1.0,PERSONAL,D,20000.0,14.84,1,0.34,Y,2.0
23.0,59004.0,RENT,5.0,DEBTCONSOLIDATION,B,20000.0,10.83,1,0.34,N,2.0
23.0,65500.0,RENT,2.0,DEBTCONSOLIDATION,C,20000.0,13.22,1,0.31,N,2.0
22.0,66996.0,RENT,3.0,EDUCATION,B,20000.0,12.18,0,0.3,N,2.0
23.0,67000.0,RENT,0.0,MEDICAL,B,20000.0,11.11,0,0.3,N,2.0
24.0,67000.0,RENT,5.0,HOMEIMPROVEMENT,C,20000.0,13.48,0,0.3,Y,2.0
26.0,68000.0,RENT,10.0,EDUCATION,B,20000.0,10.75,0,0.29,N,4.0
25.0,68000.0,RENT,4.0,PERSONAL,C,20000.0,12.53,0,0.29,Y,4.0
24.0,62400.0,RENT,4.0,DEBTCONSOLIDATION,D,20000.0,14.84,1,0.32,N,4.0
23.0,69500.0,RENT,3.0,VENTURE,E,20000.0,17.74,0,0.29,Y,2.0
25.0,70000.0,RENT,5.0,HOMEIMPROVEMENT,B,20000.0,9.99,0,0.29,N,2.0
22.0,70000.0,RENT,2.0,PERSONAL,A,20000.0,6.91,0,0.29,N,4.0
25.0,64000.0,RENT,0.0,HOMEIMPROVEMENT,E,20000.0,10.99,1,0.31,N,4.0
25.0,71004.0,RENT,9.0,PERSONAL,D,20000.0,14.09,0,0.28,N,2.0
22.0,21000.0,MORTGAGE,4.0,DEBTCONSOLIDATION,B,3000.0,11.49,0,0.14,N,3.0
23.0,71004.0,RENT,8.0,EDUCATION,D,20000.0,14.09,0,0.28,N,3.0
23.0,55392.0,RENT,3.0,MEDICAL,D,20000.0,15.2,1,0.31,Y,4.0
24.0,72000.0,RENT,5.0,MEDICAL,B,20000.0,11.83,0,0.28,N,2.0
24.0,21000.0,OTHER,4.0,PERSONAL,B,6000.0,12.21,0,0.29,N,2.0
23.0,66000.0,RENT,1.0,VENTURE,D,20000.0,14.11,1,0.3,N,3.0
22.0,66000.0,RENT,3.0,DEBTCONSOLIDATION,D,20000.0,14.42,1,0.3,N,2.0
24.0,72000.0,RENT,4.0,HOMEIMPROVEMENT,D,20000.0,14.74,0,0.28,Y,3.0
24.0,74000.0,RENT,0.0,HOMEIMPROVEMENT,B,20000.0,12.69,0,0.27,N,3.0
22.0,21120.0,MORTGAGE,3.0,DEBTCONSOLIDATION,D,1625.0,16.89,1,0.08,Y,3.0
25.0,75000.0,RENT,8.0,DEBTCONSOLIDATION,B,20000.0,10.99,0,0.27,N,4.0
21.0,21216.0,MORTGAGE,5.0,HOMEIMPROVEMENT,D,4500.0,10.99,1,0.21,Y,2.0
25.0,21221.0,MORTGAGE,4.0,VENTURE,B,8500.0,9.63,0,0.39,N,4.0
24.0,75000.0,RENT,4.0,HOMEIMPROVEMENT,B,20000.0,8.88,0,0.27,N,3.0
26.0,75000.0,RENT,5.0,MEDICAL,A,20000.0,6.91,0,0.27,N,4.0
26.0,75000.0,RENT,3.0,EDUCATION,A,20000.0,10.99,0,0.27,N,3.0
25.0,75000.0,RENT,0.0,PERSONAL,B,20000.0,10.38,0,0.27,N,3.0
22.0,69000.0,RENT,6.0,DEBTCONSOLIDATION,B,20000.0,10.99,1,0.29,N,4.0
22.0,75000.0,RENT,2.0,VENTURE,C,20000.0,10.99,0,0.27,N,2.0
21.0,21600.0,MORTGAGE,6.0,PERSONAL,A,7575.0,10.99,0,0.35,N,3.0
